Lat         Long
40.759.811	-73.969.758
40.810.255	-73.191.956
40.906.416	-74.553.719
40.753.694	-73.985.971
40.591.865	-73.581.663
40.739.605	-73.989.799
4.081.194	-74.213.805
32.305.553	-87.791.547
40.878.347	-73.329.489
40.798.359	-72.794.297
40.776.442	-73.953.513
40.845.255	-74.183.368
40.731.234	-73.993.667
40.745.217	-73.995.056
40.744.131	-73.990.425
40.720.862	-74.009.855
40.740.693	-73.983.882
40.659.041	-73.644.754
40.714.426	-74.037.585
40.734.012	-74.006.746
40.744.156	-73.989.582
4.070.527	-74.010.139
43.408.777	-74.871.618
40.745.037	-74.022.876
32.843.658	-83.637.248
40.680.501	-7.396.238
40.742.222	-74.004.664
40.729.783	-73.959.922
39.336.805	-76.621.966
40.720.487	-73.997.079
40.632.122	-73.581.541
40.731.829	-73.989.181
40.719.476	-73.997.403
40.752.171	-73.985.362
43.408.777	-74.871.618
40.720.803	-74.042.246
40.763.312	-73.968.516
40.750.712	-74.003.789
41.522.822	-72.801.273
40.720.892	-73.955.522
40.773.363	-73.956.222
40.776.442	-73.953.513
40.953.557	-73.738.674
40.639.745	-73.642.156
40.900.683	-73.346.597
40.721.282	-73.994.853
41.052.533	-73.558.391
40.948.046	-72.937.093
4.274.702	-7.375.901
40.678.086	-73.882.461
40.625.059	-74.375.011
40.493.717	-74.443.896
41.038.129	-71.945.761
41.594.347	-87.336.184
40.825.493	-72.993.199
40.769.224	-73.958.741
39.569.257	-74.236.098
40.798.359	-72.794.297
40.752.171	-73.985.362
40.752.171	-73.985.362
40.914.828	-73.839.876
